slug_name,index_name,alias,unit,viz_type,2012-13,2013-14,2014-15,2015-16(RE),2016-17(BE),2012-13%,2013-14%,2014-15%,2015-16(RE)%,2016-17(BE)%
proportion_of_allocations_for_scheduled_caste_sub_plan(scsp),Proportion of Allocations for Scheduled Caste Sub Plan(SCSP),SCSP,Rs crore and Percentage of Central Plan Outlay,simple_bar_with_line,28218.81,35800.6,43208.08,30850.88,40000,9.3,10.0,10.3,7.8,8.2
ministry_of_social_justice_and_empowerment,Ministry of Social Justice and Empowerment,,Rs crore,simple_bar,5515.0,6213.0,5452.0,6525.0,7000,,,,,
pre_matric_scholarship_for_sc_students_(class_ix_&_x),Pre Matric Scholarship for SC Students (Class IX & X),,Rs crore,simple_bar,546.0,834.0,500.0,843.0,900,,,,,
post_matric_scholarship_for_scs,Post Matric Scholarship for SCs,,Rs crore,simple_bar,2153.0,1500.0,1905.0,1599.0,1700,,,,,
pradhan_mantri_adarsh_gram_yojana,Pradhan Mantri Adarsh Gram Yojana,,Rs crore,simple_bar,0.0,100.0,33.0,200.0,250,,,,,
"implementation_of_pcr_act_1955_and_poa_act,_1989","Implementation of PCR Act 1955 and PoA Act, 1989",,Rs crore,simple_bar,128.0,90.0,150.0,91.0,95,,,,,
pre-matric_scholarship_for_children_of_those_engaged_in_unclean_occupations,Pre-matric Scholarship for children of those engaged in unclean occupations,,Rs crore,simple_bar,18.0,10.0,10.0,10.0,15,,,,,
sca_to_scsp,SCA to SCSP,,Rs crore,simple_bar,790.0,1038.0,686.0,1091.0,1200,,,,,
self-employment_scheme_of_liberation_&_rehabilitation_of_scavengers,Self-Employment Scheme of Liberation & Rehabilitation of Scavengers,,Rs crore,simple_bar,35.0,439.0,47.0,461.0,500,,,,,
venture_capital_fund_for_scs,Venture Capital Fund for SCs,,Rs crore,simple_bar,,200.0,200.0,102.0,120,,,,,
credit_guarantee_fund_for_scs,Credit Guarantee Fund for SCs,,Rs crore,simple_bar,,,,98.0,115,,,,,
