slug_name,index_name,alias,unit,viz_type,2012-13,2013-14,2014-15,2015-16(RE),2016-17(BE),2012-13%,2013-14%,2014-15%,2015-16(RE)%,2016-17(BE)%
allocations_for_tribal_sub_plan(tsp),Allocations for Tribal Sub Plan(TSP),TSP,Rs crore and Percentage of Central Plan Outlay,simple_bar_with_line,16723.73,22030.47,26714.96,19979.77,21000,5.5,6.2,6.4,5.1,6.0
ministry_of_tribal_affairs,Ministry of Tribal Affairs,,Rs crore,simple_bar,3839.0,4498.0,3872.0,4819.0,5000,,,,,
ashram_schools_in_tribal_sub-plan_areas,Ashram Schools in Tribal Sub-Plan Areas,,Rs crore,simple_bar,72.0,0.0,0.0,0.0,0,,,,,
"schemes_for_pms,_book_bank_and_up_gradation_of_merit_of_st_students","Schemes for PMS, Book Bank and Up gradation of Merit of ST students",,Rs crore,simple_bar,748.0,0.0,0.0,0.0,0,,,,,
pre-matric_scholarship_for_st_students,Pre-matric scholarship for ST students,,Rs crore,simple_bar,219.0,0.0,0.0,0.0,0,,,,,
schemes_of_hostels_for_st_girls_and_boys,Schemes of Hostels for ST Girls and Boys,,Rs crore,simple_bar,101.0,0.0,0.0,0.0,0,,,,,
mechanism_for_marketing_of_minor_forest_produce_(mfp)_through_minimum_support_price(msp)_and_development_of_value_chain_for_mfp,Mechanism for Marketing of Minor Forest Produce (MFP) through Minimum Support Price(MSP) and Development of value Chain for MFP,,Rs crore,simple_bar,112.0,317.0,100.0,307.0,350,,,,,
umbrella_schemes_for_education_of_st_children,Umbrella Schemes for Education of ST Children,,Rs crore,simple_bar,0.0,1058.0,1066.0,1155.0,1200,,,,,
special_central_assistance_to_tsp,Special Central Assistance to TSP,,Rs crore,simple_bar,1050.0,1200.0,1040.0,1250.0,1300,,,,,
assistance_for_schemes_under_provison(i)_to_article_275(1)_of_the_constitution,Assistance for schemes under provison(i) to Article 275(1) of the Constitution,,Rs crore,simple_bar,1097.0,1317.0,1135.0,1367.0,1400,,,,,
van_bandhu_kalyan_yojana,Van Bandhu Kalyan Yojana,,Rs crore,simple_bar,,100.0,100.0,200.0,220,,,,,
