slug_name,index_name,2012-13,2013-14,2014-15 ,2015-16,2016-17(BE),2016-17(RE),2017-18(BE),unit,color
fund_allocation_for_ministry_of_minority_affairs,Fund Allocation for Ministry of Minority Affairs,2174,3026,3089,3654.8,3827,3827,4195,Rs.crore,#e4af1b
fund_utilization_percentage_of_ministry_of_minority_affairs_over_budget_estimates,Fund Utilization % of Ministry of Minority Affairs over Budget Estimates,68.9,86,83,97.8,,,,Percentage,#e4af1b
maulan_azad_foundation,Maulan Azad Foundation,0,160,113,113,,114,113,Rs.crore,#e4af1b
merit_cum_means,Merit Cum Means,181,259.9,381.3,315,,395,392.93,Rs.crore,#e4af1b
free_coaching,Free Coaching,14,23.6,31.3,44.84,,40,48,Rs.crore,#e4af1b
pre_matric,Pre Matric,786,962.9,1128.8,1015.73,,931,950,Rs.crore,#e4af1b
post_matric,Post Matric,326.4,515.6,501.3,552.83,,550,550,Rs.crore,#e4af1b
maulana_azad_fellowship,Maulana Azad Fellowship,66,50,0.12,55.52,,120,100,Rs.crore,#e4af1b
national_minorities_development_finance_corporation,National Minorities Development & Finance Corporation,85,0,30,120,,140,170,Rs.crore,#e4af1b
multi_sectoral_development_programme,Multi-sectoral Development Programme,641.2,953.4,768.2,1120.73,,1059,1200,Rs.crore,#e4af1b
