id,name,field_type,field_name,viz_type,description,source,notes,unit,insights
overview,Expenditure Overview,linear,,,,"Compiled by CBGA from Union Budget documents, various years","B.E. stands for Budget Estimates, R.E. stands for Revised Estimates.",,
transfer_of_resources_to_states,Transfer of resources to States,linear,,,,"Compiled by CBGA from Union Budget documents, various years","B.E. stands for Budget Estimates, R.E. stands for Revised Estimates.",,
social_sector_allocations_and_priorities,Social Sector Allocations and Priorities,linear,,,,"Compiled by CBGA from Union Budget documents, various years","B.E. stands for Budget Estimates, R.E. stands for Revised Estimates.",,
tax_gdp_buoyancy,Taxation,transpose,Trends of  Tax-GDP ratio and Tax Buoyancy in India,two_line,,"Compiled by CBGA from Central Statistical Organization, Economic Survey 2015-16 and Reserve Bank of India statistics","B.E. stands for Budget Estimates, R.E. stands for Revised Estimates.","Ratio,Ratio",The Union Government is pessimistic on the tax revenue generation front in 2016-17. It has proposed an estimate of 11.7 percent growth of gross tax revenue in 2016-17 B.E which is less compared to its previous year’s revised estimate growth of 15.8 percent. Growth in tax revenue has witnessed a slower movement with respect to the growth GDP. There is no significant improvement in Tax-GDP ratio in the last few years.
annual_estimated_revenue_foregone,Taxation,linear,,,,"Compiled by CBGA from Statement of Revenue Foregone, Union Budget 2005-06 to 2016-17 and Statistics, Reserve Bank of India","B.E. stands for Budget Estimates, R.E. stands for Revised Estimates.",,
education,Education,linear,,,,"Compiled by CBGA from Union Budget documents, various years","B.E. stands for Budget Estimates, R.E. stands for Revised Estimates.",,
health,Health,linear,,,,"Compiled by CBGA from Union Budget documents, various years","B.E. stands for Budget Estimates, R.E. stands for Revised Estimates. The figures include the North East Region (NER) component.",,
drinking_water_and_sanitation,Drinking Water and Sanitation,linear,,,,"Compiled by CBGA from Union Budget documents, various years","B.E. stands for Budget Estimates, R.E. stands for Revised Estimates.",,
ministry_of_rural_development,Rural Development,linear,,,,"Compiled by CBGA from Union Budget documents, various years","B.E. stands for Budget Estimates, R.E. stands for Revised Estimates.",,
share_of_expenditure_by_moa,Agriculture,transpose,Share of Expenditure by MoA in Total Union Government Expenditure and GDP,two_line,,"Compiled by CBGA from Union Budget documents, various years","B.E. stands for Budget Estimates, R.E. stands for Revised Estimates. This doesn’t include interest subvention for providing short term credit to farmers until 2015-16","%,%",
agriculture,Agriculture,linear,,,,"Compiled by CBGA from Union Budget documents, various years","B.E. stands for Budget Estimates, R.E. stands for Revised Estimates.",,
food_security,Food Security,linear,,,,"Compiled by CBGA from Union Budget documents, various years","B.E. stands for Budget Estimates, R.E. stands for Revised Estimates.",,
share_of_food_subsidy_allocation,Food Security,transpose,Share of Food Subsidy Allocation in the Total Union Budget and GDP,two_line,,"Compiled by CBGA from Union Budget documents, various years","B.E. stands for Budget Estimates, R.E. stands for Revised Estimates.","%,%",
nutrition,Nutrition,linear,,,,"Compiled by CBGA from Union Budget documents, various years","B.E. stands for Budget Estimates, R.E. stands for Revised Estimates.",,
climate_change,Climate Change,linear,,,,"Compiled by CBGA from Union Budget documents, various years","B.E. stands for Budget Estimates, R.E. stands for Revised Estimates.",,
women,Women,linear,,,,"Compiled by CBGA from Union Budget documents, various years","B.E. stands for Budget Estimates, R.E. stands for Revised Estimates.",,
children,Children,linear,,,,"Compiled by CBGA from Union Budget documents, various years","B.E. stands for Budget Estimates, R.E. stands for Revised Estimates.",,
dalits,Dalits,linear,,,,"Compiled by CBGA from Union Budget documents, various years","B.E. stands for Budget Estimates, R.E. stands for Revised Estimates.",,
religious_minorities,Religious Minorities,linear,,,,"Compiled by CBGA from Union Budget documents, various years","B.E. stands for Budget Estimates, R.E. stands for Revised Estimates.",,
social_security,Social Security,linear,,,,"Compiled by CBGA from Union Budget documents, various years","B.E. stands for Budget Estimates, R.E. stands for Revised Estimates.",,
urban_poverty,Urban Poverty,linear,,,,"Compiled by CBGA from Union Budget documents, various years","B.E. stands for Budget Estimates, R.E. stands for Revised Estimates.",,
disability,Persons with Disabilities,linear,,,,"Compiled by CBGA from Union Budget documents, various years","B.E. stands for Budget Estimates, R.E. stands for Revised Estimates.",,
