slug_name,index_name,unit,2012-13,2013-14,2014-15 ,2015-16(BE),2015-16(RE),2016-17(BE),notes,insights
"department_of_agriculture,_cooperation_and_farmers_welfare","Department of Agriculture, Cooperation and Farmers Welfare",Rs crore,17953.0,18923.0,19255.0,,15809,35984,This doesn’t include interest subvention for providing short term credit to farmers until 2015-16,
"department_of_animal_husbandry,_dairying_and_fisheries","Department of Animal Husbandry, Dairying and Fisheries",Rs crore,1792.0,1826.0,1822.0,,1563,1882,This doesn’t include interest subvention for providing short term credit to farmers until 2015-16,
department_of_agricultural_research_and_education,Department of Agricultural Research and Education,%Percent,4510.0,4731.0,4840.0,,5586,6620,This doesn’t include interest subvention for providing short term credit to farmers until 2015-16,
total_expenditure_under_ministry_of_agriculture(moa),Total Expenditure under Ministry of Agriculture(MoA),Rs crore,24255.0,25479.0,25917.0,,22958,29486,This doesn’t include interest subvention for providing short term credit to farmers until 2015-16,
interest__subvention__for_providing_short_term_credit__to_farmers,Interest  Subvention  for Providing Short Term Credit  to Farmers,Rs crore,5400.0,6000.0,6000.0,,13000,This doesn’t include interest subvention for providing short term credit to farmers until 2015-16,"The allocations for the interest subvention for providing short term credit to farmers were reported under the Department of Financial Services within the Ministry of Finance, however Rs. 15000 crore is now (in 2016-17 BE) reported in Department of Agriculture, Cooperation and Farmers’ Welfare. Source: Compiled by CBGA",
total_expenditure_under_moa_including_interest_subvention,Total Expenditure under MoA including Interest Subvention,Rs crore,29655.0,31479.0,31917.0,,35958,44486,This doesn’t include interest subvention for providing short term credit to farmers until 2015-16,
pradhan_mantri_fasal_bima_yojana,Pradhan Mantri Fasal Bima Yojana,Rs crore,,,2598.0,2589.0,2955,5501,"This doesn’t include interest subvention for providing short term credit to farmers until 2015-16. Pradhan Mantri Fasal Bima Yojana includes existing National Agriculture Insurance Scheme (NAIS), Weather-based crop insurance scheme, Modified National Agricultural Insurance Scheme (MNAIS) being implemented through Agriculture Insurance Corporation and Coconut Palm Insurance Scheme","The Prime Minister Fasal Bima Yojana has been coined by combining earlier insurance schemes for farmers.  An allocation to the tune of Rs. 5,500 crore proposed in the Budget 2016-17, which shows an upward revision of the allocation from Rs, 2955 crore in 2015-16 RE."
rashtriya_krishi_vikas_yojana(rkvy),Rashtriya Krishi Vikas Yojana(RKVY),Rs crore,,,8443.0,4500.0,3900,5400,This doesn’t include interest subvention for providing short term credit to farmers until 2015-16,"The allocation for RKVY got slight increase in the current budget, which is far from satisfactory, however, due to change is fund sharing pattern, it is expected that the states’ would put relevant share (40 %) towards the programme."
krishonnati_yojana,Krishonnati Yojana,Rs crore,,,9823.0,9056.0,8884,7580,This doesn’t include interest subvention for providing short term credit to farmers until 2015-16,
national_food_security_mission_(nfsm),National Food Security Mission (NFSM),Rs crore,,,1873.0,1300.0,1137,1706,This doesn’t include interest subvention for providing short term credit to farmers until 2015-16,"There is a decline in allocation for NFSM in 2016-17 BE compared to 2014-15 (although the reprioritization in favour of Pulses Mission, with an additional allocation of Rs. 500 core, incentivizing farmers for pulse cultivation) seems the thrust of meeting the demand-supply mis-match of pulses in the country."
paramparagat_krishi_vikas_yojana,Paramparagat Krishi Vikas Yojana,Rs crore,,,,300.0,250,297,This doesn’t include interest subvention for providing short term credit to farmers until 2015-16,
pradhan_mantri_krishi_sinchai_yojana(pmksy),Pradhan Mantri Krishi Sinchai Yojana(PMKSY),Rs crore,,,,1800.0,1550,2340,This doesn’t include interest subvention for providing short term credit to farmers until 2015-16,The allocation for PMKSY (within MoA) has been increased from Rs. 1800 crore to Rs. 2340 core seems quite inadequate if one looks at the percentage of cultivable area under irrigation (46 %) in the country.
pradhan_mantri_krishi_sinchai_yojana(pmksy)*,Pradhan Mantri Krishi Sinchai Yojana(PMKSY)*,Rs crore,,,2319.0,3530.0,6040,3427,"This doesn’t include interest subvention for providing short term credit to farmers until 2015-16. *These are provisioned under Department of Land Resources and Ministry of Water Resources, River Development and Ganga Rejuvenation",
