slug_name,index_name,2012-13,2013-14,2014-15 ,2015-16(BE),2015-16(RE),2016-17(BE),viz_type,unit,notes,insights
social_security_card_for_unorganised_sector_workers_,Social Security Card for Unorganised sector Workers ,0.0,0.0,0.0,0.0,0.0,141.5,simple_bar,Rs crore,This scheme comes under Ministry of Labour and Employment,
social_security_for_unorganised_sector_workers_(rsby),Social Security for Unorganised sector Workers (RSBY),1001.7,887.6,550.7,1320.5,64.8,102.2,simple_bar,Rs crore,This scheme comes under Ministry of Labour and Employment,
rashtriya_swasthya_bima_yojna_(rsby),Rashtriya Swasthya Bima Yojna (RSBY),0.0,0.0,0.0,100.0,595.0,0.0,simple_bar,Rs crore,This scheme comes under Ministry of Health and Family Welfare,
rashtriya_swasthya_suraksha_yojana_(erstwhile_rsby),Rashtriya Swasthya Suraksha Yojana (erstwhile RSBY),0.0,0.0,0.0,0.0,0.0,1500.0,simple_bar,Rs crore,This scheme comes under Ministry of Health and Family Welfare,
national_social_assistance_programme,National Social Assistance Programme,7824.8,9046.0,7086.7,9082.0,9082.0,9500.0,simple_bar,Rs crore,This scheme comes under Ministry of Rural Development,
swavalamban_scheme_(to_encourage_people_of_unorganised__sector_to_join_national_pension_scheme),Swavalamban Scheme (to encourage people of Unorganised  Sector to join National Pension Scheme),104.4,152.9,195.0,581.9,308.0,209.0,simple_bar,Rs crore,This scheme comes under Ministry of Finance (Dept. of Financial Services),
govt._contribution_to_aam_admi_bima_yojana,Govt. contribution to Aam Admi Bima Yojana,0.0,4.5,175.0,437.5,437.5,450.0,simple_bar,Rs crore,This scheme comes under Ministry of Finance (Dept. of Financial Services),
atal_pension_yojana,Atal Pension Yojana,0.0,0.0,0.0,0.0,173.0,200.0,simple_bar,Rs crore,This scheme comes under Ministry of Finance (Dept. of Financial Services),
pradhan_mantri_jeevan_jyoti_bima_yojana,Pradhan Mantri Jeevan Jyoti Bima Yojana,0.0,0.0,0.0,0.0,0.0,50.0,simple_bar,Rs crore,This scheme comes under Ministry of Finance (Dept. of Financial Services),
total_union_budget_outlays_for_social_security_under_various_schemes,Total Union Budget Outlays for Social Security under Various Schemes,8930.9,10091.0,8007.4,11521.9,10660.3,12152.7,simple_bar,Rs crore,,
