slug_name,index_name,2012-13,2013-14,2014-15,2015-16,2016-17(BE),2016-17(RE),2017-18(BE),unit,color
total_allocations_to_ministry_of_women_and_child_development,Total allocations to Ministry of Women and Child Development,17036,18037,18540,17249,17408,17640.4,22094.7,Rs. Crore,#26393D
allocations_to_ministry_of_women_and_child_development_as_a_proportion_of_union_budget,Allocations to Ministry of Women and Child Development as a proportion of Union Budget,1.2,1.16,1.11,0.96,0.88,0.88,1.03,,#26393D
core_icds_anganwadiservices,Core ICDS/AnganwadiServices,15767.5,16400.8,16683.6,15489.3,14862.9,14735.6,16745.2,Rs. Crore,#26393D
maternity_benefit_programme_indira_gandhi_matritva_sahyog_yojana,Maternity Benefit Programme (Indira Gandhi MatritvaSahyogYojana),82.07,231.9,343.14,233.3,400,634,2700,Rs. Crore,#26393D
rajiv_gandhi_scheme_for_empowerment_of_adolescent_girls-sabla,Rajiv Gandhi Scheme for Empowerment of Adolescent Girls-SABLA,503.6,602.4,622.4,475.2,460,460,460,Rs. Crore,#D0A825
rajiv_gandhi_national_creche_scheme_for_children_of_working_mothers,Rajiv Gandhi National Creche Scheme for Children of Working Mothers ,106,100,97.7,133.02,150,150,200,Rs. Crore,#D0A826
beti_bachao_beti_padhao,Beti Bachao Beti Padhao,,,34.9,59.4,100,43,200,Rs. Crore,#D0A827
one_stop_centre,One Stop Centre,0,0,0,10.4,75,75,90,Rs. Crore,#D0A828
women_helpline,Women’s Helpline,0,0,0,15.1,25,25,10,Rs. Crore,#D0A829
other_schemes,Other Schemes,,,,,400,585,400,Rs. Crore,#D0A830
swadhar_greh,Swadhar Greh,52.2,53.8,29,48.1,100,90,100,Rs. Crore,#D0A831
